"","Channel A Ave. (mV)","Channel B Ave. (mV)","Channel C Ave. (mV)","Channel D Ave. (mV)"
"00:00:00.422","47.879","25.967","48.958","77.074"
"00:00:00.423","48.271","27.934","48.958","77.074"
"00:00:00.424","47.093","26.754","49.348","77.862"
"00:00:00.425","47.093","24.000","49.348","77.862"
"00:00:00.426","47.485","24.786","48.958","77.468"
"00:00:00.427","49.055","25.179","48.958","77.074"
"00:00:00.428","49.055","25.573","49.348","77.468"
"00:00:00.429","47.877","25.967","49.348","77.468"
"00:00:00.430","47.877","25.967","49.348","77.468"
"00:00:00.431","47.093","25.967","49.348","77.862"
"00:00:00.432","47.093","25.967","49.348","77.862"
"00:00:00.433","47.485","24.786","49.348","77.862"
"00:00:00.434","47.093","23.606","49.348","77.862"
"00:00:00.435","46.701","23.212","48.958","77.468"
"00:00:00.436","46.309","23.212","48.958","77.468"
"00:00:00.437","45.917","24.787","49.348","77.862"
"00:00:00.438","46.701","26.360","49.348","77.468"
"00:00:00.439","47.877","25.967","49.348","77.074"
"00:00:00.440","47.485","25.179","49.348","77.468"
"00:00:00.441","47.485","25.965","49.348","77.862"
"00:00:00.442","47.485","26.359","49.348","77.862"
"00:00:00.443","46.701","25.967","49.348","77.862"
"00:00:00.444","46.701","26.360","48.958","77.862"
"00:00:00.445","47.093","25.967","48.958","77.862"
"00:00:00.446","47.879","25.179","49.348","77.862"
"00:00:00.447","47.879","26.753","49.348","77.862"
"00:00:00.448","47.485","26.360","49.348","78.256"
"00:00:00.449","47.877","25.181","49.348","78.256"
"00:00:00.450","47.877","25.573","49.348","77.862"
"00:00:00.451","47.093","25.179","49.348","77.862"
"00:00:00.452","46.701","24.393","49.348","77.862"
"00:00:00.453","47.093","23.606","49.348","77.468"
"00:00:00.454","46.309","24.000","49.348","77.862"
"00:00:00.455","45.917","25.181","49.348","78.256"
"00:00:00.456","48.271","26.754","49.348","77.468"
"00:00:00.457","49.449","27.146","49.348","77.074"
"00:00:00.458","49.057","25.573","49.348","77.468"
"00:00:00.459","48.663","24.393","48.958","77.468"
"00:00:00.460","47.485","24.000","48.958","77.468"
"00:00:00.461","47.093","24.393","49.348","78.256"
"00:00:00.462","45.917","25.179","49.348","78.256"
"00:00:00.463","45.524","25.965","49.348","77.862"
"00:00:00.464","46.701","25.573","49.348","77.862"
"00:00:00.465","47.485","25.573","49.348","77.468"
"00:00:00.466","47.877","25.573","49.348","77.468"
"00:00:00.467","48.663","25.573","48.958","77.468"
"00:00:00.468","49.057","26.753","48.958","77.862"
"00:00:00.469","48.665","26.753","49.348","78.256"
"00:00:00.470","47.487","25.965","48.958","77.468"
"00:00:00.471","46.309","25.573","48.567","77.074"
"00:00:00.472","46.309","24.787","48.958","77.468"
"00:00:00.473","46.309","25.573","49.348","77.862"
"00:00:00.474","46.701","25.967","49.348","77.862"
"00:00:00.475","47.485","25.573","49.348","77.862"
"00:00:00.476","48.271","25.179","49.348","77.862"
"00:00:00.477","47.487","25.573","48.958","77.862"
"00:00:00.478","47.487","25.573","48.958","78.256"
"00:00:00.479","47.095","25.573","49.348","78.256"
"00:00:00.480","46.701","25.179","49.348","77.862"
"00:00:00.481","46.701","24.786","49.348","77.862"
"00:00:00.482","46.701","25.573","49.348","78.256"
"00:00:00.483","48.271","24.393","49.348","78.256"
"00:00:00.484","47.879","24.393","49.348","77.862"
"00:00:00.485","47.093","25.573","49.348","77.862"
"00:00:00.486","47.485","25.179","49.348","77.862"
"00:00:00.487","47.093","25.179","49.348","77.468"
"00:00:00.488","45.917","24.392","49.348","77.468"
"00:00:00.489","46.309","24.392","49.348","78.256"
"00:00:00.490","47.879","26.359","49.348","78.256"
"00:00:00.491","49.057","26.359","49.348","77.862"
"00:00:00.492","47.487","25.965","49.348","77.468"
"00:00:00.493","45.917","25.965","48.958","77.468"
"00:00:00.494","47.879","25.965","48.567","77.862"
"00:00:00.495","48.271","25.573","48.958","77.862"
"00:00:00.496","45.917","25.573","48.958","77.468"
"00:00:00.497","45.524","25.573","48.958","77.862"
"00:00:00.498","47.093","25.967","49.741","78.649"
"00:00:00.499","47.877","25.967","49.741","78.256"
"00:00:00.500","47.485","26.360","48.958","77.862"
"00:00:00.501","47.485","26.753","48.958","77.862"
"00:00:00.502","46.701","26.753","48.958","77.468"
"00:00:00.503","46.309","25.967","48.567","77.074"
"00:00:00.504","47.093","25.573","48.567","77.074"
"00:00:00.505","47.879","26.359","48.567","77.074"
"00:00:00.506","48.271","25.573","48.958","77.468"
"00:00:00.507","47.093","24.393","49.348","77.862"
"00:00:00.508","47.487","24.786","49.348","77.862"
"00:00:00.509","48.271","25.573","49.348","77.468"
"00:00:00.510","48.271","25.181","49.348","77.074"
"00:00:00.511","47.879","25.181","49.348","77.468"
"00:00:00.512","47.093","25.181","48.958","77.468"
"00:00:00.513","47.093","24.393","48.958","77.862"
"00:00:00.514","47.485","25.967","48.958","78.256"
"00:00:00.515","46.701","25.573","48.958","77.862"
"00:00:00.516","46.701","24.000","48.958","77.468"
"00:00:00.517","48.271","24.393","48.958","77.468"
"00:00:00.518","47.879","25.573","49.348","77.862"
"00:00:00.519","47.485","26.360","49.348","77.862"
"00:00:00.520","47.877","25.181","49.348","77.862"
"00:00:00.521","47.877","25.573","49.348","77.468"
"00:00:00.522","47.877","25.965","49.348","77.468"
"00:00:00.523","48.271","25.965","49.348","77.862"
"00:00:00.524","47.879","25.965","49.741","77.862"
"00:00:00.525","46.701","26.359","50.133","77.862"
